AvgOrderValue,PurchaseFrequency,NumProductCategoriesShoppedIn,AvgDiscountUsed
28.88,9.95,2,0.159
40.94,2.43,2,0.327
54.13,3.68,2,0.404
44.39,3.74,2,0.356
30.49,1.26,2,0.0
41.09,13.92,3,0.082
179.23,1.83,1,0.064
28.55,14.17,3,0.03
162.04,2.02,2,0.047
31.22,13.06,4,0.074
53.84,2.35,2,0.296
37.93,12.92,3,0.099
33.57,9.99,4,0.151
44.34,4.7,2,0.283
189.26,2.42,2,0.022
188.79,2.33,2,0.029
202.51,1.16,2,0.042
174.82,0.97,2,0.076
226.84,1.91,2,0.003
41.12,8.96,2,0.0
42.23,7.51,3,0.02
37.92,13.82,2,0.117
29.57,1.05,1,0.012
42.65,12.23,2,0.135
34.59,13.55,3,0.111
210.52,2.34,1,0.084
39.23,9.58,3,0.128
222.18,2.28,3,0.073
24.76,0.74,1,0.046
49.23,2.8,1,0.394
235.11,1.03,2,0.049
44.88,13.95,3,0.052
31.92,12.01,3,0.013
48.97,15.77,4,0.022
18.79,3.43,2,0.381
28.55,0.97,1,0.014
49.71,11.94,4,0.085
28.68,7.92,3,0.08
29.93,14.91,2,0.145
183.69,1.83,2,0.03
50.71,2.97,2,0.345
17.6,11.58,3,0.025
24.58,1.92,1,0.038
43.1,4.52,2,0.43
183.06,2.13,3,0.041
32.44,0.68,1,0.017
40.86,14.93,2,0.033
53.39,2.22,2,0.382
194.52,1.23,3,0.081
33.22,13.51,2,0.091
43.67,3.69,2,0.399
189.73,1.61,1,0.067
40.47,1.65,2,0.336
43.26,17.17,4,0.091
40.38,11.27,3,0.116
22.99,3.72,3,0.236
176.45,3.0,2,0.038
39.17,7.54,4,0.054
39.27,12.1,2,0.113
180.86,1.82,2,0.075
30.79,15.73,4,0.07
181.82,2.16,2,0.029
48.66,14.6,3,0.114
42.86,3.26,2,0.203
45.64,8.82,1,0.128
164.41,1.95,2,0.048
33.33,3.29,2,0.297
34.13,10.92,4,0.063
23.48,0.64,1,0.032
48.71,4.11,2,0.4
45.49,3.59,2,0.423
28.65,4.3,2,0.125
35.65,17.38,3,0.093
33.52,11.23,4,0.08
39.93,11.21,2,0.079
51.38,3.1,1,0.232
54.22,2.45,2,0.288
30.57,10.41,3,0.169
39.51,14.73,3,0.141
59.91,3.03,2,0.419
42.41,3.43,2,0.461
174.36,0.71,1,0.005
169.67,2.47,3,0.063
17.94,3.66,1,0.261
243.73,2.53,2,0.031
32.41,13.42,2,0.156
191.42,1.1,2,0.053
23.81,0.52,1,0.034
36.02,12.85,3,0.161
219.06,1.81,2,0.055
236.06,1.6,2,0.081
211.19,2.45,2,0.073
51.72,2.97,2,0.218
50.15,3.73,2,0.411
196.13,1.33,2,0.036
195.88,2.08,2,0.049
47.68,3.68,3,0.259
18.47,4.38,2,0.236
25.26,2.75,2,0.301
35.24,1.39,1,0.0
51.84,2.59,3,0.353
204.46,1.93,2,0.047
55.03,3.1,2,0.407
29.35,9.02,3,0.198
32.36,1.35,1,0.031
184.76,1.01,2,0.047
31.42,1.44,1,0.037
189.52,1.89,2,0.047
219.8,2.32,2,0.058
32.83,8.95,3,0.027
193.61,0.42,1,0.019
19.34,1.13,1,0.048
37.72,9.92,4,0.128
41.02,11.69,3,0.07
24.29,0.91,1,0.05
35.91,11.85,2,0.041
17.08,1.62,2,0.0
53.02,2.36,2,0.29
74.54,2.45,1,0.427
230.9,2.8,1,0.085
41.97,3.03,3,0.33
222.88,2.49,3,0.037
47.25,2.35,1,0.295
45.6,3.5,3,0.458
27.13,11.91,2,0.056
222.2,1.59,2,0.076
137.58,2.29,2,0.092
33.2,10.93,2,0.029
54.83,1.8,2,0.352
199.46,2.83,3,0.038
22.61,0.96,1,0.037
51.22,4.42,2,0.407
28.69,14.14,2,0.129
39.96,1.71,1,0.375
49.67,3.71,1,0.259
192.07,1.48,2,0.018
33.13,11.28,3,0.157
196.4,1.54,1,0.04
190.99,1.8,1,0.054
223.49,2.18,2,0.004
33.48,3.69,2,0.337
237.81,1.69,3,0.0
156.81,1.99,3,0.063
33.46,4.13,2,0.345
23.05,0.71,1,0.011
33.01,16.75,4,0.095
191.62,2.53,1,0.116
36.33,11.8,5,0.131
48.6,11.66,4,0.078
52.12,2.93,2,0.377
222.61,1.9,2,0.063
36.49,11.89,4,0.122
18.31,0.79,1,0.018
209.47,2.19,2,0.105
203.85,2.86,2,0.096
197.68,2.02,2,0.07
25.03,11.81,2,0.094
20.79,0.81,2,0.0
214.99,1.67,1,0.085
28.67,10.82,2,0.059
222.66,1.63,3,0.065
39.76,3.61,2,0.2
23.41,0.87,1,0.007
164.32,2.68,3,0.043
162.21,2.14,1,0.039
21.61,1.28,1,0.025
163.08,1.95,2,0.012
216.12,2.29,1,0.107
23.09,3.83,2,0.307
34.86,1.41,1,0.0
59.14,3.12,2,0.409
41.56,10.67,3,0.06
48.07,3.68,2,0.377
45.08,2.3,2,0.386
210.07,1.57,1,0.02
195.49,1.33,2,0.082
42.97,6.54,3,0.057
261.04,3.31,1,0.023
52.69,2.0,1,0.322
44.61,0.82,2,0.412
52.08,14.67,4,0.052
259.28,2.03,3,0.07
14.61,0.92,2,0.0
162.61,1.02,3,0.069
176.29,1.56,2,0.007
27.36,3.51,2,0.317
48.31,3.63,3,0.369
40.37,10.13,2,0.128
226.72,2.15,2,0.078
22.69,1.8,1,0.033
47.99,3.44,1,0.222
38.78,10.17,3,0.114
189.79,1.68,2,0.064
57.43,2.42,2,0.267
37.37,3.2,2,0.27
232.93,1.32,1,0.025
213.63,1.81,1,0.006
42.16,4.01,3,0.176
47.11,19.36,3,0.062
44.75,3.34,2,0.383
184.86,1.78,2,0.082
34.57,2.17,2,0.359
35.19,14.86,4,0.101
180.14,2.25,2,0.091
36.16,13.94,4,0.027
35.48,11.46,4,0.174
24.47,1.3,2,0.023
237.16,2.19,3,0.061
51.72,2.53,2,0.415
34.77,2.83,2,0.365
34.47,0.76,1,0.044
18.34,15.95,4,0.027
204.02,2.82,1,0.079
186.24,2.74,3,0.087
20.38,1.19,1,0.04
35.56,1.86,2,0.156
37.43,11.38,3,0.162
193.73,1.32,2,0.101
192.55,1.66,2,0.077
32.38,0.5,1,0.006
189.62,2.0,2,0.014
59.97,2.84,2,0.359
44.08,10.93,3,0.105
25.93,1.55,2,0.032
47.66,1.6,2,0.273
15.21,1.31,1,0.058
28.51,2.26,2,0.393
48.91,2.92,2,0.225
169.48,2.26,1,0.074
29.32,12.85,3,0.133
38.69,14.18,2,0.066
28.71,10.15,4,0.126
160.78,1.84,2,0.059
47.64,8.23,1,0.064
196.32,1.87,2,0.042
12.75,0.59,1,0.007
26.85,11.32,3,0.102
34.07,3.52,2,0.339
263.25,2.39,2,0.016
32.64,2.94,2,0.37
30.49,10.06,3,0.12
40.1,9.88,2,0.063
27.55,1.58,1,0.009
31.69,2.5,3,0.404
58.93,2.52,2,0.286
22.68,0.75,1,0.06
29.92,13.28,5,0.038
31.61,2.73,2,0.328
31.55,1.53,1,0.064
53.51,2.06,3,0.338
57.79,3.37,1,0.367
50.86,1.48,2,0.385
140.63,1.55,2,0.048
37.07,14.14,4,0.075
50.9,3.94,2,0.338
45.03,12.34,3,0.164
183.72,2.42,2,0.047
36.42,9.72,5,0.116
177.35,3.33,2,0.054
161.62,2.01,3,0.057
38.56,12.41,3,0.039
164.59,2.09,3,0.12
51.15,3.22,2,0.311
30.45,14.99,3,0.082
49.15,3.49,2,0.418
24.59,1.43,1,0.005
31.49,9.54,2,0.057
37.4,12.38,3,0.104
42.74,15.14,4,0.155
18.58,1.06,1,0.013
41.56,11.01,4,0.165
41.27,11.41,3,0.086
29.41,1.16,1,0.022
23.55,1.99,2,0.266
50.51,3.91,3,0.221
28.73,0.65,1,0.007
24.09,0.41,1,0.009
17.53,0.46,1,0.024
224.12,1.19,2,0.098
29.64,12.58,4,0.098
28.34,16.87,2,0.048
214.11,1.14,1,0.075
65.74,2.75,2,0.326
222.57,1.3,3,0.044
196.23,1.76,1,0.035
45.6,2.09,2,0.303
23.41,14.04,3,0.185
201.67,1.18,2,0.093
210.99,0.67,2,0.095
196.14,0.79,3,0.042
224.48,1.13,2,0.065
198.91,0.92,3,0.0
194.9,2.14,2,0.073
42.55,4.85,2,0.379
175.03,2.05,2,0.027
232.03,2.4,3,0.028
205.08,2.0,2,0.074
23.17,9.99,4,0.152
207.59,2.31,2,0.034
46.37,2.83,3,0.469
32.82,11.3,4,0.079
192.42,3.38,2,0.119
48.62,5.16,2,0.348
36.64,13.0,1,0.07
173.58,2.86,2,0.109
38.36,12.78,3,0.109
31.04,1.57,1,0.033
23.62,1.17,1,0.025
169.07,0.93,2,0.041
63.84,1.92,2,0.362
44.81,2.65,1,0.296
23.79,1.24,1,0.01
36.91,19.21,5,0.119
45.69,3.82,3,0.414
30.69,12.48,3,0.044
12.37,1.62,1,0.04
143.94,1.51,1,0.113
23.87,16.1,3,0.136
227.92,1.48,2,0.058
41.5,3.87,2,0.449
25.99,10.63,3,0.044
225.42,0.77,2,0.004
19.7,1.21,1,0.0
152.88,1.06,2,0.063
32.04,13.21,2,0.077
41.78,3.33,2,0.476
43.26,3.37,2,0.369
46.06,4.26,2,0.457
41.73,16.45,2,0.044
232.75,1.57,2,0.073
209.63,2.86,2,0.046
210.36,1.96,1,0.005
40.86,3.22,2,0.327
38.61,3.37,2,0.246
203.43,1.92,2,0.054
25.03,6.64,2,0.131
221.4,2.43,2,0.031
212.61,2.75,2,0.079
20.63,12.89,2,0.065
49.02,3.92,2,0.352
30.03,14.42,5,0.087
50.57,4.18,2,0.447
174.72,2.39,2,0.063
47.62,2.85,2,0.525
197.97,1.02,2,0.066
54.55,2.73,2,0.196
29.33,1.64,1,0.025
165.48,1.86,2,0.011
215.27,2.24,2,0.076
36.29,10.76,4,0.118
43.79,12.74,3,0.126
234.33,2.67,2,0.024
28.96,0.52,1,0.004
189.02,1.52,2,0.066
21.34,1.54,2,0.054
27.62,1.8,1,0.0
28.39,14.04,4,0.143
35.08,10.61,4,0.115
40.8,11.38,2,0.06
31.39,1.18,1,0.008
174.56,1.06,1,0.091
22.59,0.51,1,0.025
38.39,15.68,4,0.053
30.69,1.29,1,0.047
37.92,10.72,3,0.101
49.08,12.32,3,0.032
155.23,1.53,1,0.079
36.58,9.05,4,0.112
210.95,2.37,3,0.033
54.0,2.06,2,0.287
34.42,1.72,1,0.051
28.74,1.6,1,0.037
23.61,15.59,3,0.099
26.7,2.37,2,0.39
30.91,1.04,1,0.047
139.02,2.06,2,0.053
42.27,3.22,2,0.365
188.42,2.56,2,0.093
44.06,10.81,3,0.053
38.19,9.36,3,0.038
26.94,0.82,1,0.0
37.81,10.31,3,0.118
24.95,0.54,1,0.0
241.86,2.51,1,0.0
165.16,1.68,3,0.09
235.57,2.43,1,0.047
185.98,1.52,1,0.115
229.63,1.98,2,0.017
210.21,2.68,1,0.105
34.48,0.68,1,0.0
48.93,10.27,4,0.042
36.74,7.91,5,0.067
171.82,1.47,1,0.025
31.84,5.8,5,0.114
50.32,2.52,3,0.327
19.73,1.58,1,0.005
195.85,1.53,2,0.084
39.66,3.17,2,0.303
47.49,4.38,3,0.463
34.1,8.75,3,0.051
43.01,12.31,3,0.041
52.49,3.26,1,0.183
225.97,1.35,2,0.058
32.28,1.21,1,0.0
43.46,8.24,2,0.147
47.67,12.9,4,0.132
20.19,1.02,1,0.043
41.16,2.39,2,0.338
220.34,1.51,1,0.03
34.27,1.14,1,0.025
42.88,1.82,2,0.294
143.25,2.31,1,0.053
61.65,4.01,2,0.502
41.58,3.31,1,0.212
40.45,2.44,2,0.246
22.24,1.56,1,0.0
209.27,1.72,3,0.064
198.75,1.99,2,0.092
195.1,2.62,2,0.067
48.98,2.83,2,0.437
37.87,11.29,4,0.107
43.21,3.04,2,0.405
25.03,8.02,2,0.076
23.64,1.05,1,0.017
31.46,13.02,3,0.176
26.37,0.43,1,0.0
51.61,1.78,1,0.443
27.0,0.76,1,0.022
202.57,2.45,2,0.035
213.88,2.35,2,0.052
24.54,8.9,2,0.138
45.32,2.38,2,0.219
35.19,11.07,3,0.141
39.32,13.9,4,0.134
13.56,1.65,1,0.015
24.55,1.13,1,0.005
135.46,3.06,3,0.072
251.68,2.19,2,0.04
21.85,0.73,1,0.0
210.87,1.14,2,0.058
238.17,1.99,1,0.098
212.3,1.89,2,0.012
242.2,1.73,2,0.088
63.66,4.24,2,0.361
47.18,2.3,2,0.409
49.03,3.54,2,0.248
34.65,14.79,4,0.09
53.7,2.59,2,0.513
18.12,11.89,2,0.101
222.16,3.31,3,0.069
46.42,1.3,2,0.342
215.35,1.86,3,0.049
28.27,9.38,3,0.152
49.82,2.19,2,0.409
20.56,1.05,1,0.037
35.83,8.14,2,0.131
249.55,1.54,1,0.11
24.18,14.81,2,0.136
49.81,4.19,3,0.304
239.15,2.88,3,0.068
202.65,1.62,2,0.05
37.45,11.13,3,0.109
47.69,3.65,1,0.468
29.23,1.67,1,0.002
48.87,9.62,3,0.094
21.83,2.0,1,0.032
256.91,2.13,2,0.0
31.58,3.05,3,0.334
155.97,2.72,2,0.08
49.56,3.92,3,0.379
37.12,3.89,2,0.282
44.67,3.77,2,0.418
23.4,1.33,1,0.015
37.29,12.73,2,0.155
32.12,9.27,2,0.136
43.56,2.84,1,0.2
37.11,0.99,1,0.037
178.79,1.51,2,0.087
41.28,4.88,2,0.392
31.12,3.28,1,0.438
228.07,2.04,3,0.03
33.89,17.85,3,0.177
18.19,1.03,2,0.001
20.42,0.82,1,0.065
56.1,3.91,2,0.387
216.22,2.62,1,0.046
241.38,2.6,1,0.043
200.05,2.06,3,0.06
59.77,1.59,1,0.287
31.23,3.41,2,0.365
144.48,2.34,2,0.042
22.83,0.32,1,0.013
49.12,3.3,2,0.434
215.11,2.46,1,0.04
26.54,0.82,1,0.006
243.32,1.99,1,0.025
32.73,14.93,3,0.166
42.86,8.6,4,0.113
22.15,0.65,1,0.012
27.1,11.81,1,0.093
30.14,2.96,3,0.2
43.55,11.19,3,0.127
224.29,1.83,2,0.019
30.69,1.17,1,0.022
25.76,0.86,1,0.054
237.25,1.68,2,0.087
39.9,2.11,3,0.372
190.73,1.89,2,0.001
47.77,2.35,2,0.256
185.69,1.69,2,0.033
181.63,2.42,2,0.0
45.38,2.02,2,0.385
40.32,13.51,4,0.092
49.72,3.12,2,0.305
157.24,1.63,1,0.064
56.02,1.84,1,0.344
219.93,2.93,3,0.035
44.75,2.49,2,0.39
44.75,2.68,3,0.364
196.14,1.89,2,0.063
24.41,1.11,1,0.038
47.75,2.39,2,0.209
177.03,1.52,2,0.027
52.35,10.78,4,0.142
57.73,2.92,2,0.407
23.31,1.34,1,0.0
215.55,2.49,3,0.006
35.4,14.16,4,0.143
190.0,2.47,2,0.068
24.61,0.68,1,0.021
191.26,1.9,2,0.073
34.8,0.97,1,0.029
34.48,8.81,2,0.144
52.37,10.21,2,0.221
29.01,0.74,1,0.016
139.83,1.74,1,0.048
50.14,12.42,2,0.098
55.71,2.01,2,0.412
55.33,4.19,3,0.457
21.53,12.36,2,0.113
16.59,0.64,1,0.008
144.52,2.71,3,0.061
26.8,9.46,4,0.118
28.2,16.04,3,0.111
202.67,1.43,2,0.038
241.36,2.67,2,0.042
18.5,11.58,2,0.047
42.48,10.9,4,0.141
46.16,3.74,3,0.476
43.22,9.16,2,0.122
24.75,0.2,1,0.0
175.92,1.69,2,0.066
38.19,2.34,2,0.342
24.43,0.2,1,0.038
40.01,4.18,2,0.414
24.08,11.14,3,0.094
19.25,1.76,1,0.053
43.96,11.5,3,0.063
10.42,5.1,2,0.292
182.02,2.62,3,0.038
23.32,11.28,5,0.018
21.03,13.78,2,0.115
40.03,13.23,2,0.136
30.69,1.58,1,0.006
28.48,1.69,2,0.465
47.02,11.25,3,0.086
172.85,2.28,1,0.074
15.91,1.03,1,0.022
52.77,3.77,2,0.327
24.53,1.4,1,0.023
207.05,0.91,2,0.045
28.78,7.02,1,0.132
24.06,0.2,1,0.019
49.78,3.08,2,0.258
47.85,2.36,1,0.331
39.23,3.25,2,0.336
34.22,13.72,4,0.1
186.46,2.07,2,0.046
158.55,2.81,2,0.084
39.66,3.44,2,0.392
15.49,0.49,1,0.0
47.45,4.22,3,0.106
65.49,2.05,2,0.281
167.27,2.3,2,0.055
45.39,2.24,3,0.273
55.9,3.38,2,0.439
124.63,1.34,2,0.043
32.68,12.11,2,0.133
38.64,11.81,2,0.149
34.32,6.49,2,0.165
186.96,1.2,3,0.008
221.25,2.66,2,0.045
154.49,2.84,1,0.071
24.14,16.82,2,0.22
25.68,1.04,1,0.015
49.31,1.97,2,0.214
41.06,15.05,3,0.179
28.9,1.34,1,0.0
28.54,1.11,1,0.009
25.59,1.83,1,0.018
48.46,1.35,3,0.348
20.96,0.82,2,0.029
39.76,16.98,3,0.114
26.83,2.46,2,0.216
174.84,1.77,2,0.052
122.14,1.19,2,0.057
56.38,3.9,1,0.478
31.41,1.18,1,0.0
45.16,12.85,3,0.162
36.04,2.65,2,0.313
215.94,2.09,2,0.043
43.82,2.77,2,0.352
34.83,12.32,4,0.06
56.78,2.08,1,0.384
14.97,1.06,1,0.035
52.26,1.57,3,0.415
31.5,13.37,3,0.086
36.71,10.66,3,0.073
185.54,2.5,3,0.059
47.08,3.45,2,0.379
198.91,2.29,2,0.081
27.29,4.75,2,0.221
37.89,4.58,2,0.377
193.04,2.93,1,0.056
32.67,0.5,1,0.0
28.47,9.47,3,0.075
17.62,15.62,4,0.095
12.05,1.2,1,0.059
38.55,1.65,2,0.416
51.48,2.18,1,0.433
30.95,1.09,1,0.0
133.11,1.62,2,0.054
37.25,9.07,3,0.061
55.08,3.43,3,0.192
46.76,2.95,2,0.404
214.04,2.05,3,0.022
36.56,11.68,1,0.076
31.15,18.3,3,0.059
36.99,8.62,4,0.09
34.28,7.89,4,0.135
37.96,11.99,5,0.117
25.35,1.17,1,0.0
20.4,1.06,1,0.008
39.09,13.29,2,0.04
35.8,2.78,2,0.383
40.43,13.12,4,0.128
21.3,1.18,2,0.007
49.53,2.89,2,0.323
32.98,15.51,2,0.061
35.56,9.73,1,0.096
36.28,3.41,2,0.389
19.26,0.32,1,0.035
24.3,1.34,1,0.016
230.5,2.47,3,0.049
214.69,0.42,3,0.057
40.62,13.1,2,0.138
26.68,0.76,1,0.016
35.33,4.13,1,0.262
33.08,9.35,3,0.131
34.09,10.12,2,0.105
34.65,2.52,1,0.31
36.27,1.82,2,0.377
41.62,2.69,3,0.421
31.81,2.33,2,0.361
30.0,0.8,1,0.014
163.07,2.32,3,0.022
37.73,1.61,2,0.407
21.99,0.2,1,0.031
29.62,3.11,2,0.366
28.86,14.39,2,0.059
213.89,2.07,2,0.123
171.16,2.86,2,0.003
39.73,4.57,3,0.339
33.3,1.05,1,0.034
45.29,3.52,2,0.478
37.64,2.23,2,0.402
8.36,4.19,2,0.192
193.07,2.18,2,0.047
42.66,11.2,3,0.115
23.19,9.54,2,0.102
29.98,11.53,4,0.089
23.15,1.51,1,0.028
196.99,2.69,2,0.046
52.27,3.59,1,0.329
223.05,1.8,1,0.099
40.76,8.77,2,0.067
30.41,3.49,2,0.402
245.67,1.23,2,0.072
42.07,13.73,3,0.026
24.1,10.82,2,0.004
25.01,1.34,2,0.015
43.75,9.19,3,0.142
210.22,2.22,2,0.058
31.97,1.23,1,0.012
30.02,10.79,3,0.076
42.85,1.71,1,0.389
26.97,0.2,1,0.0
249.73,2.02,2,0.079
34.61,1.49,2,0.031
239.73,1.52,2,0.035
34.0,2.55,2,0.25
192.55,1.8,1,0.009
199.2,2.8,1,0.043
44.02,12.78,3,0.127
32.43,6.79,3,0.083
45.69,12.45,3,0.147
56.18,1.94,2,0.378
34.06,18.8,4,0.175
208.43,1.66,2,0.0
41.55,3.35,2,0.357
35.03,13.51,2,0.161
185.23,2.69,3,0.032
38.73,11.17,3,0.048
34.64,0.72,2,0.046
211.92,1.21,2,0.075
23.39,14.26,3,0.124
36.73,11.39,4,0.0
50.59,3.35,2,0.232
37.67,2.87,1,0.292
30.09,2.53,3,0.341
22.55,0.2,1,0.0
151.53,1.98,2,0.066
61.41,2.38,2,0.407
236.45,2.32,2,0.02
222.11,3.03,2,0.065
29.73,0.41,1,0.017
237.48,2.4,2,0.072
22.71,1.22,1,0.0
42.13,4.37,2,0.362
196.13,2.29,2,0.032
221.63,3.17,2,0.043
226.31,2.74,3,0.034
52.06,2.0,1,0.46
198.61,1.03,2,0.052
196.45,2.54,2,0.03
48.18,2.57,2,0.378
48.27,1.82,1,0.283
41.66,13.26,4,0.08
39.71,1.14,1,0.007
21.1,0.48,1,0.019
45.41,1.82,1,0.327
36.65,1.85,1,0.222
33.73,1.08,1,0.032
16.37,6.58,3,0.12
30.54,1.1,1,0.006
197.06,2.79,2,0.077
28.18,15.65,4,0.036
19.75,0.72,1,0.033
38.37,9.28,3,0.013
243.19,1.85,1,0.081
39.55,2.87,3,0.272
185.95,2.21,2,0.081
45.16,2.49,1,0.385
219.84,1.75,3,0.035
42.5,2.28,2,0.38
175.81,1.88,2,0.02
24.08,0.8,1,0.055
13.59,0.57,1,0.0
234.46,2.24,1,0.055
24.0,13.29,4,0.089
56.24,2.36,2,0.27
204.48,2.82,2,0.02
216.28,1.68,2,0.038
29.66,1.35,1,0.0
30.59,1.92,2,0.345
62.44,3.43,2,0.289
34.72,3.47,2,0.201
36.23,2.67,2,0.074
35.39,10.19,3,0.165
203.71,1.38,2,0.048
36.32,1.64,2,0.453
36.47,3.11,2,0.376
31.98,16.04,2,0.097
35.57,8.38,3,0.115
44.46,3.18,2,0.28
34.14,8.2,3,0.105
30.04,12.99,2,0.12
27.62,14.29,3,0.096
42.36,4.98,2,0.123
25.51,0.83,1,0.0
192.06,3.17,3,0.025
30.41,1.27,1,0.029
36.41,12.21,3,0.132
199.9,3.42,2,0.049
38.23,3.44,2,0.232
33.48,8.01,3,0.075
39.07,2.92,3,0.298
38.67,14.69,2,0.149
22.21,11.41,3,0.052
24.89,3.15,1,0.356
176.31,2.25,1,0.088
22.84,10.29,4,0.079
44.52,3.65,2,0.255
40.16,13.36,3,0.073
29.73,13.82,3,0.093
21.81,1.17,1,0.029
34.4,13.57,3,0.0
32.91,11.34,3,0.083
41.8,2.48,3,0.337
51.36,3.23,2,0.353
30.18,0.46,1,0.068
35.13,4.46,3,0.415
33.89,10.75,2,0.03
49.41,2.89,2,0.312
38.63,9.47,1,0.113
36.24,2.51,1,0.349
39.87,13.08,2,0.083
32.63,14.84,2,0.061
45.98,2.34,2,0.422
170.33,2.1,2,0.079
46.32,8.06,3,0.098
33.17,1.15,1,0.014
197.89,2.58,1,0.094
29.58,1.09,1,0.041
26.76,11.25,5,0.105
185.35,2.46,1,0.07
32.41,17.19,2,0.073
177.51,3.0,2,0.01
34.06,14.99,4,0.042
53.95,2.76,3,0.269
165.22,2.37,2,0.089
37.87,8.48,3,0.126
171.73,1.5,3,0.051
13.48,14.58,2,0.11
44.56,10.39,4,0.1
233.48,2.01,2,0.0
67.3,1.89,2,0.398
37.55,2.06,3,0.357
27.76,0.8,1,0.017
60.95,1.09,1,0.358
33.45,1.02,1,0.062
28.26,10.87,3,0.099
47.19,3.06,1,0.426
61.8,1.22,2,0.341
41.12,7.15,3,0.083
33.91,6.57,3,0.119
36.1,9.23,4,0.018
35.67,8.04,4,0.092
26.03,4.74,2,0.349
237.26,2.48,2,0.054
189.71,3.33,2,0.063
51.74,12.91,4,0.067
208.42,2.89,2,0.037
171.74,2.15,2,0.029
45.87,13.65,4,0.097
18.98,11.87,3,0.121
33.56,11.57,1,0.068
37.06,8.94,2,0.052
35.79,12.72,2,0.114
29.89,11.94,4,0.112
44.22,3.23,1,0.499
181.33,2.69,1,0.022
35.93,8.56,3,0.106
44.91,3.98,2,0.302
47.24,14.1,3,0.107
25.45,7.83,5,0.128
132.14,2.21,1,0.006
16.52,0.83,1,0.017
15.39,0.54,2,0.0
32.91,6.89,3,0.12
137.48,2.33,2,0.027
34.48,8.12,2,0.066
43.54,14.68,4,0.068
225.16,2.22,3,0.056
25.94,1.14,1,0.0
209.76,3.02,3,0.098
20.53,1.7,1,0.043
227.41,1.36,2,0.068
34.06,8.93,2,0.068
222.32,2.39,3,0.066
35.75,11.25,3,0.146
30.78,1.31,1,0.019
28.07,15.34,4,0.094
36.47,11.41,2,0.105
22.52,1.3,2,0.044
61.96,2.53,1,0.42
25.83,0.6,1,0.005
173.05,1.37,1,0.039
26.65,15.25,3,0.16
36.98,2.4,2,0.384
18.76,11.37,3,0.153
55.22,3.05,2,0.154
218.04,2.14,2,0.093
221.29,1.49,2,0.02
214.58,1.53,2,0.013
46.66,10.98,3,0.138
146.45,1.29,3,0.075
190.65,1.64,2,0.032
42.02,11.37,1,0.079
33.75,2.97,3,0.311
55.66,14.04,4,0.067
208.27,1.72,2,0.026
219.99,2.0,2,0.142
50.76,3.39,2,0.177
45.34,2.66,2,0.415
262.68,1.97,1,0.116
33.39,13.85,2,0.032
226.93,2.33,2,0.035
31.82,0.99,1,0.001
246.8,2.55,1,0.03
39.82,2.53,3,0.308
11.36,1.95,1,0.019
14.41,0.82,1,0.036
40.48,10.64,4,0.055
41.23,12.66,2,0.103
45.78,12.02,2,0.157
40.73,9.97,2,0.045
206.67,1.52,2,0.055
