AvgOrderValue,PurchaseFrequency,NumProductCategoriesShoppedIn,AvgDiscountUsed,Cluster
29.35,9.02,3,0.198,0
32.36,1.35,1,0.031,2
184.76,1.01,2,0.047,1
31.42,1.44,1,0.037,2
189.52,1.89,2,0.047,1
219.8,2.32,2,0.058,1
32.83,8.95,3,0.027,0
193.61,0.42,1,0.019,1
19.34,1.13,1,0.048,2
37.72,9.92,4,0.128,0
41.02,11.69,3,0.07,0
24.29,0.91,1,0.05,2
35.91,11.85,2,0.041,0
17.08,1.62,2,0.0,2
53.02,2.36,2,0.29,3
74.54,2.45,1,0.427,3
230.9,2.8,1,0.085,1
41.97,3.03,3,0.33,3
222.88,2.49,3,0.037,1
47.25,2.35,1,0.295,3
45.6,3.5,3,0.458,3
27.13,11.91,2,0.056,0
222.2,1.59,2,0.076,1
137.58,2.29,2,0.092,1
33.2,10.93,2,0.029,0
54.83,1.8,2,0.352,3
199.46,2.83,3,0.038,1
22.61,0.96,1,0.037,2
51.22,4.42,2,0.407,3
28.69,14.14,2,0.129,0
39.96,1.71,1,0.375,3
49.67,3.71,1,0.259,3
192.07,1.48,2,0.018,1
33.13,11.28,3,0.157,0
196.4,1.54,1,0.04,1
190.99,1.8,1,0.054,1
223.49,2.18,2,0.004,1
33.48,3.69,2,0.337,3
237.81,1.69,3,0.0,1
156.81,1.99,3,0.063,1
33.46,4.13,2,0.345,3
23.05,0.71,1,0.011,2
33.01,16.75,4,0.095,0
191.62,2.53,1,0.116,1
36.33,11.8,5,0.131,0
48.6,11.66,4,0.078,0
52.12,2.93,2,0.377,3
222.61,1.9,2,0.063,1
36.49,11.89,4,0.122,0
18.31,0.79,1,0.018,2
209.47,2.19,2,0.105,1
203.85,2.86,2,0.096,1
197.68,2.02,2,0.07,1
25.03,11.81,2,0.094,0
20.79,0.81,2,0.0,2
214.99,1.67,1,0.085,1
28.67,10.82,2,0.059,0
222.66,1.63,3,0.065,1
39.76,3.61,2,0.2,3
23.41,0.87,1,0.007,2
164.32,2.68,3,0.043,1
162.21,2.14,1,0.039,1
21.61,1.28,1,0.025,2
163.08,1.95,2,0.012,1
216.12,2.29,1,0.107,1
23.09,3.83,2,0.307,3
34.86,1.41,1,0.0,2
59.14,3.12,2,0.409,3
41.56,10.67,3,0.06,0
48.07,3.68,2,0.377,3
45.08,2.3,2,0.386,3
210.07,1.57,1,0.02,1
195.49,1.33,2,0.082,1
42.97,6.54,3,0.057,0
261.04,3.31,1,0.023,1
52.69,2.0,1,0.322,3
44.61,0.82,2,0.412,3
52.08,14.67,4,0.052,0
259.28,2.03,3,0.07,1
14.61,0.92,2,0.0,2
162.61,1.02,3,0.069,1
176.29,1.56,2,0.007,1
27.36,3.51,2,0.317,3
48.31,3.63,3,0.369,3
40.37,10.13,2,0.128,0
226.72,2.15,2,0.078,1
22.69,1.8,1,0.033,2
47.99,3.44,1,0.222,3
38.78,10.17,3,0.114,0
189.79,1.68,2,0.064,1
57.43,2.42,2,0.267,3
37.37,3.2,2,0.27,3
232.93,1.32,1,0.025,1
213.63,1.81,1,0.006,1
42.16,4.01,3,0.176,3
47.11,19.36,3,0.062,0
44.75,3.34,2,0.383,3
184.86,1.78,2,0.082,1
34.57,2.17,2,0.359,3
35.19,14.86,4,0.101,0
180.14,2.25,2,0.091,1
36.16,13.94,4,0.027,0
35.48,11.46,4,0.174,0
24.47,1.3,2,0.023,2
237.16,2.19,3,0.061,1
51.72,2.53,2,0.415,3
34.77,2.83,2,0.365,3
34.47,0.76,1,0.044,2
18.34,15.95,4,0.027,0
204.02,2.82,1,0.079,1
186.24,2.74,3,0.087,1
20.38,1.19,1,0.04,2
35.56,1.86,2,0.156,2
37.43,11.38,3,0.162,0
193.73,1.32,2,0.101,1
192.55,1.66,2,0.077,1
32.38,0.5,1,0.006,2
189.62,2.0,2,0.014,1
59.97,2.84,2,0.359,3
44.08,10.93,3,0.105,0
25.93,1.55,2,0.032,2
47.66,1.6,2,0.273,3
15.21,1.31,1,0.058,2
28.51,2.26,2,0.393,3
48.91,2.92,2,0.225,3
169.48,2.26,1,0.074,1
29.32,12.85,3,0.133,0
38.69,14.18,2,0.066,0
28.71,10.15,4,0.126,0
160.78,1.84,2,0.059,1
47.64,8.23,1,0.064,2
196.32,1.87,2,0.042,1
12.75,0.59,1,0.007,2
26.85,11.32,3,0.102,0
34.07,3.52,2,0.339,3
263.25,2.39,2,0.016,1
32.64,2.94,2,0.37,3
30.49,10.06,3,0.12,0
40.1,9.88,2,0.063,0
27.55,1.58,1,0.009,2
31.69,2.5,3,0.404,3
58.93,2.52,2,0.286,3
22.68,0.75,1,0.06,2
29.92,13.28,5,0.038,0
31.61,2.73,2,0.328,3
31.55,1.53,1,0.064,2
53.51,2.06,3,0.338,3
57.79,3.37,1,0.367,3
50.86,1.48,2,0.385,3
140.63,1.55,2,0.048,1
37.07,14.14,4,0.075,0
50.9,3.94,2,0.338,3
45.03,12.34,3,0.164,0
183.72,2.42,2,0.047,1
36.42,9.72,5,0.116,0
177.35,3.33,2,0.054,1
161.62,2.01,3,0.057,1
38.56,12.41,3,0.039,0
164.59,2.09,3,0.12,1
51.15,3.22,2,0.311,3
30.45,14.99,3,0.082,0
49.15,3.49,2,0.418,3
24.59,1.43,1,0.005,2
31.49,9.54,2,0.057,0
37.4,12.38,3,0.104,0
42.74,15.14,4,0.155,0
18.58,1.06,1,0.013,2
41.56,11.01,4,0.165,0
41.27,11.41,3,0.086,0
29.41,1.16,1,0.022,2
23.55,1.99,2,0.266,3
50.51,3.91,3,0.221,3
28.73,0.65,1,0.007,2
24.09,0.41,1,0.009,2
17.53,0.46,1,0.024,2
224.12,1.19,2,0.098,1
29.64,12.58,4,0.098,0
28.34,16.87,2,0.048,0
214.11,1.14,1,0.075,1
65.74,2.75,2,0.326,3
222.57,1.3,3,0.044,1
196.23,1.76,1,0.035,1
45.6,2.09,2,0.303,3
23.41,14.04,3,0.185,0
201.67,1.18,2,0.093,1
210.99,0.67,2,0.095,1
196.14,0.79,3,0.042,1
224.48,1.13,2,0.065,1
198.91,0.92,3,0.0,1
194.9,2.14,2,0.073,1
42.55,4.85,2,0.379,3
175.03,2.05,2,0.027,1
232.03,2.4,3,0.028,1
205.08,2.0,2,0.074,1
23.17,9.99,4,0.152,0
207.59,2.31,2,0.034,1
46.37,2.83,3,0.469,3
32.82,11.3,4,0.079,0
192.42,3.38,2,0.119,1
48.62,5.16,2,0.348,3
36.64,13.0,1,0.07,0
173.58,2.86,2,0.109,1
38.36,12.78,3,0.109,0
31.04,1.57,1,0.033,2
23.62,1.17,1,0.025,2
169.07,0.93,2,0.041,1
63.84,1.92,2,0.362,3
44.81,2.65,1,0.296,3
23.79,1.24,1,0.01,2
36.91,19.21,5,0.119,0
45.69,3.82,3,0.414,3
30.69,12.48,3,0.044,0
12.37,1.62,1,0.04,2
143.94,1.51,1,0.113,1
23.87,16.1,3,0.136,0
227.92,1.48,2,0.058,1
41.5,3.87,2,0.449,3
25.99,10.63,3,0.044,0
225.42,0.77,2,0.004,1
19.7,1.21,1,0.0,2
152.88,1.06,2,0.063,1
32.04,13.21,2,0.077,0
41.78,3.33,2,0.476,3
43.26,3.37,2,0.369,3
46.06,4.26,2,0.457,3
41.73,16.45,2,0.044,0
232.75,1.57,2,0.073,1
209.63,2.86,2,0.046,1
210.36,1.96,1,0.005,1
40.86,3.22,2,0.327,3
38.61,3.37,2,0.246,3
203.43,1.92,2,0.054,1
25.03,6.64,2,0.131,0
221.4,2.43,2,0.031,1
212.61,2.75,2,0.079,1
20.63,12.89,2,0.065,0
49.02,3.92,2,0.352,3
30.03,14.42,5,0.087,0
50.57,4.18,2,0.447,3
174.72,2.39,2,0.063,1
47.62,2.85,2,0.525,3
197.97,1.02,2,0.066,1
54.55,2.73,2,0.196,3
29.33,1.64,1,0.025,2
165.48,1.86,2,0.011,1
215.27,2.24,2,0.076,1
36.29,10.76,4,0.118,0
43.79,12.74,3,0.126,0
234.33,2.67,2,0.024,1
28.96,0.52,1,0.004,2
189.02,1.52,2,0.066,1
21.34,1.54,2,0.054,2
27.62,1.8,1,0.0,2
28.39,14.04,4,0.143,0
35.08,10.61,4,0.115,0
40.8,11.38,2,0.06,0
31.39,1.18,1,0.008,2
174.56,1.06,1,0.091,1
22.59,0.51,1,0.025,2
38.39,15.68,4,0.053,0
30.69,1.29,1,0.047,2
37.92,10.72,3,0.101,0
49.08,12.32,3,0.032,0
155.23,1.53,1,0.079,1
36.58,9.05,4,0.112,0
210.95,2.37,3,0.033,1
54.0,2.06,2,0.287,3
34.42,1.72,1,0.051,2
28.74,1.6,1,0.037,2
23.61,15.59,3,0.099,0
26.7,2.37,2,0.39,3
30.91,1.04,1,0.047,2
139.02,2.06,2,0.053,1
42.27,3.22,2,0.365,3
188.42,2.56,2,0.093,1
44.06,10.81,3,0.053,0
38.19,9.36,3,0.038,0
26.94,0.82,1,0.0,2
37.81,10.31,3,0.118,0
24.95,0.54,1,0.0,2
241.86,2.51,1,0.0,1
165.16,1.68,3,0.09,1
235.57,2.43,1,0.047,1
185.98,1.52,1,0.115,1
229.63,1.98,2,0.017,1
210.21,2.68,1,0.105,1
34.48,0.68,1,0.0,2
48.93,10.27,4,0.042,0
36.74,7.91,5,0.067,0
171.82,1.47,1,0.025,1
31.84,5.8,5,0.114,0
50.32,2.52,3,0.327,3
19.73,1.58,1,0.005,2
195.85,1.53,2,0.084,1
39.66,3.17,2,0.303,3
47.49,4.38,3,0.463,3
34.1,8.75,3,0.051,0
43.01,12.31,3,0.041,0
52.49,3.26,1,0.183,2
225.97,1.35,2,0.058,1
32.28,1.21,1,0.0,2
43.46,8.24,2,0.147,0
47.67,12.9,4,0.132,0
20.19,1.02,1,0.043,2
41.16,2.39,2,0.338,3
220.34,1.51,1,0.03,1
34.27,1.14,1,0.025,2
42.88,1.82,2,0.294,3
143.25,2.31,1,0.053,1
61.65,4.01,2,0.502,3
41.58,3.31,1,0.212,2
40.45,2.44,2,0.246,3
22.24,1.56,1,0.0,2
209.27,1.72,3,0.064,1
198.75,1.99,2,0.092,1
195.1,2.62,2,0.067,1
48.98,2.83,2,0.437,3
37.87,11.29,4,0.107,0
43.21,3.04,2,0.405,3
25.03,8.02,2,0.076,0
23.64,1.05,1,0.017,2
31.46,13.02,3,0.176,0
26.37,0.43,1,0.0,2
51.61,1.78,1,0.443,3
27.0,0.76,1,0.022,2
202.57,2.45,2,0.035,1
213.88,2.35,2,0.052,1
24.54,8.9,2,0.138,0
45.32,2.38,2,0.219,3
35.19,11.07,3,0.141,0
39.32,13.9,4,0.134,0
13.56,1.65,1,0.015,2
24.55,1.13,1,0.005,2
135.46,3.06,3,0.072,1
251.68,2.19,2,0.04,1
21.85,0.73,1,0.0,2
210.87,1.14,2,0.058,1
238.17,1.99,1,0.098,1
212.3,1.89,2,0.012,1
242.2,1.73,2,0.088,1
63.66,4.24,2,0.361,3
47.18,2.3,2,0.409,3
49.03,3.54,2,0.248,3
34.65,14.79,4,0.09,0
53.7,2.59,2,0.513,3
18.12,11.89,2,0.101,0
222.16,3.31,3,0.069,1
46.42,1.3,2,0.342,3
215.35,1.86,3,0.049,1
28.27,9.38,3,0.152,0
49.82,2.19,2,0.409,3
20.56,1.05,1,0.037,2
35.83,8.14,2,0.131,0
249.55,1.54,1,0.11,1
24.18,14.81,2,0.136,0
49.81,4.19,3,0.304,3
239.15,2.88,3,0.068,1
202.65,1.62,2,0.05,1
37.45,11.13,3,0.109,0
47.69,3.65,1,0.468,3
29.23,1.67,1,0.002,2
48.87,9.62,3,0.094,0
21.83,2.0,1,0.032,2
256.91,2.13,2,0.0,1
31.58,3.05,3,0.334,3
155.97,2.72,2,0.08,1
49.56,3.92,3,0.379,3
37.12,3.89,2,0.282,3
44.67,3.77,2,0.418,3
23.4,1.33,1,0.015,2
37.29,12.73,2,0.155,0
32.12,9.27,2,0.136,0
43.56,2.84,1,0.2,2
37.11,0.99,1,0.037,2
178.79,1.51,2,0.087,1
41.28,4.88,2,0.392,3
31.12,3.28,1,0.438,3
228.07,2.04,3,0.03,1
33.89,17.85,3,0.177,0
18.19,1.03,2,0.001,2
20.42,0.82,1,0.065,2
56.1,3.91,2,0.387,3
216.22,2.62,1,0.046,1
241.38,2.6,1,0.043,1
200.05,2.06,3,0.06,1
59.77,1.59,1,0.287,3
31.23,3.41,2,0.365,3
144.48,2.34,2,0.042,1
22.83,0.32,1,0.013,2
49.12,3.3,2,0.434,3
215.11,2.46,1,0.04,1
26.54,0.82,1,0.006,2
243.32,1.99,1,0.025,1
32.73,14.93,3,0.166,0
42.86,8.6,4,0.113,0
22.15,0.65,1,0.012,2
27.1,11.81,1,0.093,0
30.14,2.96,3,0.2,3
43.55,11.19,3,0.127,0
224.29,1.83,2,0.019,1
30.69,1.17,1,0.022,2
25.76,0.86,1,0.054,2
237.25,1.68,2,0.087,1
39.9,2.11,3,0.372,3
190.73,1.89,2,0.001,1
47.77,2.35,2,0.256,3
185.69,1.69,2,0.033,1
181.63,2.42,2,0.0,1
45.38,2.02,2,0.385,3
40.32,13.51,4,0.092,0
49.72,3.12,2,0.305,3
157.24,1.63,1,0.064,1
56.02,1.84,1,0.344,3
219.93,2.93,3,0.035,1
44.75,2.49,2,0.39,3
44.75,2.68,3,0.364,3
196.14,1.89,2,0.063,1
24.41,1.11,1,0.038,2
47.75,2.39,2,0.209,3
177.03,1.52,2,0.027,1
52.35,10.78,4,0.142,0
57.73,2.92,2,0.407,3
23.31,1.34,1,0.0,2
215.55,2.49,3,0.006,1
35.4,14.16,4,0.143,0
190.0,2.47,2,0.068,1
24.61,0.68,1,0.021,2
191.26,1.9,2,0.073,1
34.8,0.97,1,0.029,2
34.48,8.81,2,0.144,0
52.37,10.21,2,0.221,0
29.01,0.74,1,0.016,2
139.83,1.74,1,0.048,1
50.14,12.42,2,0.098,0
55.71,2.01,2,0.412,3
55.33,4.19,3,0.457,3
21.53,12.36,2,0.113,0
16.59,0.64,1,0.008,2
144.52,2.71,3,0.061,1
26.8,9.46,4,0.118,0
28.2,16.04,3,0.111,0
202.67,1.43,2,0.038,1
241.36,2.67,2,0.042,1
18.5,11.58,2,0.047,0
42.48,10.9,4,0.141,0
46.16,3.74,3,0.476,3
43.22,9.16,2,0.122,0
24.75,0.2,1,0.0,2
175.92,1.69,2,0.066,1
38.19,2.34,2,0.342,3
24.43,0.2,1,0.038,2
40.01,4.18,2,0.414,3
24.08,11.14,3,0.094,0
19.25,1.76,1,0.053,2
43.96,11.5,3,0.063,0
10.42,5.1,2,0.292,3
182.02,2.62,3,0.038,1
23.32,11.28,5,0.018,0
21.03,13.78,2,0.115,0
40.03,13.23,2,0.136,0
30.69,1.58,1,0.006,2
28.48,1.69,2,0.465,3
47.02,11.25,3,0.086,0
172.85,2.28,1,0.074,1
15.91,1.03,1,0.022,2
52.77,3.77,2,0.327,3
24.53,1.4,1,0.023,2
207.05,0.91,2,0.045,1
28.78,7.02,1,0.132,2
24.06,0.2,1,0.019,2
49.78,3.08,2,0.258,3
47.85,2.36,1,0.331,3
39.23,3.25,2,0.336,3
34.22,13.72,4,0.1,0
186.46,2.07,2,0.046,1
158.55,2.81,2,0.084,1
39.66,3.44,2,0.392,3
15.49,0.49,1,0.0,2
47.45,4.22,3,0.106,0
65.49,2.05,2,0.281,3
167.27,2.3,2,0.055,1
45.39,2.24,3,0.273,3
55.9,3.38,2,0.439,3
124.63,1.34,2,0.043,1
32.68,12.11,2,0.133,0
38.64,11.81,2,0.149,0
34.32,6.49,2,0.165,3
186.96,1.2,3,0.008,1
221.25,2.66,2,0.045,1
154.49,2.84,1,0.071,1
24.14,16.82,2,0.22,0
25.68,1.04,1,0.015,2
49.31,1.97,2,0.214,3
41.06,15.05,3,0.179,0
28.9,1.34,1,0.0,2
28.54,1.11,1,0.009,2
25.59,1.83,1,0.018,2
48.46,1.35,3,0.348,3
20.96,0.82,2,0.029,2
39.76,16.98,3,0.114,0
26.83,2.46,2,0.216,3
174.84,1.77,2,0.052,1
122.14,1.19,2,0.057,1
56.38,3.9,1,0.478,3
31.41,1.18,1,0.0,2
45.16,12.85,3,0.162,0
36.04,2.65,2,0.313,3
215.94,2.09,2,0.043,1
43.82,2.77,2,0.352,3
34.83,12.32,4,0.06,0
56.78,2.08,1,0.384,3
14.97,1.06,1,0.035,2
52.26,1.57,3,0.415,3
31.5,13.37,3,0.086,0
36.71,10.66,3,0.073,0
185.54,2.5,3,0.059,1
47.08,3.45,2,0.379,3
198.91,2.29,2,0.081,1
27.29,4.75,2,0.221,3
37.89,4.58,2,0.377,3
193.04,2.93,1,0.056,1
32.67,0.5,1,0.0,2
28.47,9.47,3,0.075,0
17.62,15.62,4,0.095,0
12.05,1.2,1,0.059,2
38.55,1.65,2,0.416,3
51.48,2.18,1,0.433,3
30.95,1.09,1,0.0,2
133.11,1.62,2,0.054,1
37.25,9.07,3,0.061,0
55.08,3.43,3,0.192,3
46.76,2.95,2,0.404,3
214.04,2.05,3,0.022,1
36.56,11.68,1,0.076,2
31.15,18.3,3,0.059,0
36.99,8.62,4,0.09,0
34.28,7.89,4,0.135,0
37.96,11.99,5,0.117,0
25.35,1.17,1,0.0,2
20.4,1.06,1,0.008,2
39.09,13.29,2,0.04,0
35.8,2.78,2,0.383,3
40.43,13.12,4,0.128,0
21.3,1.18,2,0.007,2
49.53,2.89,2,0.323,3
32.98,15.51,2,0.061,0
35.56,9.73,1,0.096,2
36.28,3.41,2,0.389,3
19.26,0.32,1,0.035,2
24.3,1.34,1,0.016,2
230.5,2.47,3,0.049,1
214.69,0.42,3,0.057,1
40.62,13.1,2,0.138,0
26.68,0.76,1,0.016,2
35.33,4.13,1,0.262,3
33.08,9.35,3,0.131,0
34.09,10.12,2,0.105,0
34.65,2.52,1,0.31,3
36.27,1.82,2,0.377,3
41.62,2.69,3,0.421,3
31.81,2.33,2,0.361,3
30.0,0.8,1,0.014,2
163.07,2.32,3,0.022,1
37.73,1.61,2,0.407,3
21.99,0.2,1,0.031,2
29.62,3.11,2,0.366,3
28.86,14.39,2,0.059,0
213.89,2.07,2,0.123,1
171.16,2.86,2,0.003,1
39.73,4.57,3,0.339,3
33.3,1.05,1,0.034,2
45.29,3.52,2,0.478,3
37.64,2.23,2,0.402,3
8.36,4.19,2,0.192,3
193.07,2.18,2,0.047,1
42.66,11.2,3,0.115,0
23.19,9.54,2,0.102,0
29.98,11.53,4,0.089,0
23.15,1.51,1,0.028,2
196.99,2.69,2,0.046,1
52.27,3.59,1,0.329,3
223.05,1.8,1,0.099,1
40.76,8.77,2,0.067,0
30.41,3.49,2,0.402,3
245.67,1.23,2,0.072,1
42.07,13.73,3,0.026,0
24.1,10.82,2,0.004,0
25.01,1.34,2,0.015,2
43.75,9.19,3,0.142,0
210.22,2.22,2,0.058,1
31.97,1.23,1,0.012,2
30.02,10.79,3,0.076,0
42.85,1.71,1,0.389,3
26.97,0.2,1,0.0,2
249.73,2.02,2,0.079,1
34.61,1.49,2,0.031,2
239.73,1.52,2,0.035,1
34.0,2.55,2,0.25,3
192.55,1.8,1,0.009,1
199.2,2.8,1,0.043,1
44.02,12.78,3,0.127,0
32.43,6.79,3,0.083,0
45.69,12.45,3,0.147,0
56.18,1.94,2,0.378,3
34.06,18.8,4,0.175,0
208.43,1.66,2,0.0,1
41.55,3.35,2,0.357,3
35.03,13.51,2,0.161,0
185.23,2.69,3,0.032,1
38.73,11.17,3,0.048,0
34.64,0.72,2,0.046,2
211.92,1.21,2,0.075,1
23.39,14.26,3,0.124,0
36.73,11.39,4,0.0,0
50.59,3.35,2,0.232,3
37.67,2.87,1,0.292,3
30.09,2.53,3,0.341,3
22.55,0.2,1,0.0,2
151.53,1.98,2,0.066,1
61.41,2.38,2,0.407,3
236.45,2.32,2,0.02,1
222.11,3.03,2,0.065,1
29.73,0.41,1,0.017,2
237.48,2.4,2,0.072,1
22.71,1.22,1,0.0,2
42.13,4.37,2,0.362,3
196.13,2.29,2,0.032,1
221.63,3.17,2,0.043,1
226.31,2.74,3,0.034,1
52.06,2.0,1,0.46,3
198.61,1.03,2,0.052,1
196.45,2.54,2,0.03,1
48.18,2.57,2,0.378,3
48.27,1.82,1,0.283,3
41.66,13.26,4,0.08,0
39.71,1.14,1,0.007,2
21.1,0.48,1,0.019,2
45.41,1.82,1,0.327,3
36.65,1.85,1,0.222,2
33.73,1.08,1,0.032,2
16.37,6.58,3,0.12,0
30.54,1.1,1,0.006,2
197.06,2.79,2,0.077,1
28.18,15.65,4,0.036,0
19.75,0.72,1,0.033,2
38.37,9.28,3,0.013,0
243.19,1.85,1,0.081,1
39.55,2.87,3,0.272,3
185.95,2.21,2,0.081,1
45.16,2.49,1,0.385,3
219.84,1.75,3,0.035,1
42.5,2.28,2,0.38,3
175.81,1.88,2,0.02,1
24.08,0.8,1,0.055,2
13.59,0.57,1,0.0,2
234.46,2.24,1,0.055,1
24.0,13.29,4,0.089,0
56.24,2.36,2,0.27,3
204.48,2.82,2,0.02,1
216.28,1.68,2,0.038,1
29.66,1.35,1,0.0,2
30.59,1.92,2,0.345,3
62.44,3.43,2,0.289,3
34.72,3.47,2,0.201,3
36.23,2.67,2,0.074,2
35.39,10.19,3,0.165,0
203.71,1.38,2,0.048,1
36.32,1.64,2,0.453,3
36.47,3.11,2,0.376,3
31.98,16.04,2,0.097,0
35.57,8.38,3,0.115,0
44.46,3.18,2,0.28,3
34.14,8.2,3,0.105,0
30.04,12.99,2,0.12,0
27.62,14.29,3,0.096,0
42.36,4.98,2,0.123,2
25.51,0.83,1,0.0,2
192.06,3.17,3,0.025,1
30.41,1.27,1,0.029,2
36.41,12.21,3,0.132,0
